gsa_source,gsa_target,spillover_weight
289,249,82489.78714732871
289,288,82488.97554803023
289,389,82490.59697337686
289,91,82490.60148165036
289,99,82490.60148165036
297,10,86381.87791324055
297,12,84161.4057701529
297,13,86381.87791324055
297,17,86381.87791324055
297,18,84161.4057701529
297,187,84161.4057701529
297,190,14121.676921264665
297,206,86381.87791324055
297,211,84161.4057701529
297,214,86381.87791324055
297,220,86375.39590167986
297,222,40811.920165040596
297,226,40811.920165040596
297,23,86381.87791324055
297,231,86381.87791324055
297,237,86381.87791324055
297,266,84161.4057701529
297,269,86381.87791324055
297,271,86381.87791324055
297,298,86381.87791324055
297,30,86381.87791324055
297,301,86381.87791324055
297,302,86381.87791324055
297,308,86381.87791324055
297,317,84161.4057701529
297,358,40811.920165040596
297,360,86381.87791324055
297,408,14121.676921264665
297,410,14121.676921264665
297,411,40811.920165040596
297,57,86381.87791324055
297,62,86381.87791324055
297,65,84076.30430323466
297,66,86381.87791324055
297,67,86381.87791324055
297,70,68877.13389397663
297,71,86381.87791324055
297,73,40811.920165040596
298,146,57682.69789026365
298,149,57682.69789026365
298,157,57682.69789026365
298,224,57682.69789026365
298,252,57682.69789026365
298,259,57682.69789026365
298,265,57682.69789026365
298,286,57682.69789026365
298,289,57682.69789026365
298,299,57682.69789026365
298,343,57676.51879451832
298,463,57682.69789026365
299,116,82490.60148165036
299,137,82490.19865032798
299,140,82490.60148165036
299,142,82486.05479034371
299,151,82490.60148165036
299,152,82490.60148165036
299,159,82490.49498250103
299,183,82467.62601575343
299,189,82490.60148165036
299,201,82489.48688825034
299,208,82480.65832667564
299,228,82481.68700358826
299,249,82489.78714732871
299,288,82488.97554803023
299,389,82490.59697337686
299,91,82490.60148165036
299,99,82490.60148165036
30,146,57686.25274063531
30,149,57686.805565663526
30,157,57691.57582766995
30,224,57691.57582766995
30,252,57691.57582766995
30,259,57690.79385007396
30,265,57691.57582766995
30,286,57684.934144581486
30,289,57691.57582766995
30,299,57691.57582766995
30,343,57676.51879451832
30,463,57691.57582766995
300,10,14423.652150547954
300,116,89750.10352963288
300,13,14423.325997801317
300,137,89749.66524754693
300,140,89750.10352963288
300,142,89745.15671135105
300,151,89750.10352963288
300,152,89750.10352963288
300,159,89749.9876581335
300,17,14423.70847776655
300,183,89725.10613107045
300,189,89750.10352963288
300,201,89748.89084756668
300,206,14422.919159696587
300,208,89739.28533734959
300,214,14420.782604416241
300,220,14418.741158142824
300,225,85617.7597276824
300,228,89740.40454193471
300,23,14423.573305009415
300,231,14420.633604327826
300,237,14423.70847776655
300,238,85617.76343595538
300,249,89749.21753064192
300,269,14423.70847776655
300,271,14423.70847776655
300,288,89748.33450736708
300,298,14421.488868071456
300,30,14423.70847776655
300,301,14423.317405572514
300,302,14423.70847776655
300,308,14421.102355516648
300,360,14423.70847776655
300,389,89750.09862461333
300,57,14423.70847776655
300,62,14423.698200585433
300,66,14423.70847776655
300,67,14423.454621221372
300,70,11497.736768262737
300,71,14423.70847776655
300,91,89750.10352963288
300,99,89750.10352963288
301,146,57686.25274063531
301,149,57686.805565663526
301,157,57690.01162723071
301,224,57690.01162723071
301,252,57690.01162723071
301,259,57690.01162723071
301,265,57690.01162723071
301,286,57684.934144581486
301,289,57690.01162723071
301,299,57690.01162723071
301,343,57676.51879451832
301,463,57690.01162723071
302,146,57686.25274063531
302,149,57686.805565663526
302,157,57691.57582766995
302,224,57691.57582766995
302,252,57691.57582766995
302,259,57690.79385007396
302,265,57691.57582766995
302,286,57684.934144581486
302,289,57691.57582766995
302,299,57691.57582766995
302,343,57676.51879451832
302,463,57691.57582766995
306,222,34409.56809531901
306,226,34409.41786481226
306,25,62808.51247295271
306,29,62807.39842406602
306,358,34408.15393092718
306,411,34409.52696283114
306,42,62808.341741371296
306,43,62808.51247295271
306,470,62808.51247295271
306,490,62806.02055981838
306,518,62780.624696867395
306,528,62808.51247295271
306,530,62808.51247295271
306,537,62808.51247295271
306,538,62808.51247295271
306,541,62775.672704709374
306,544,62808.46821886437
306,545,62808.51247295271
306,73,34405.50341687941
308,146,57681.15192735138
308,149,57681.15192735138
308,157,57681.15192735138
308,224,57681.15192735138
308,252,57681.15192735138
308,259,57681.15192735138
308,265,57681.15192735138
308,286,57681.15192735138
308,289,57681.15192735138
308,299,57681.15192735138
308,343,57676.51879451832
308,463,57681.15192735138
311,10,90821.46798366711
311,13,90821.19744829238
311,17,90821.46798366711
311,206,90818.63565887955
311,214,90805.18213858851
311,220,90792.3275033188
311,225,88627.82088538259
311,23,90821.46798366711
311,231,90804.2439107171
311,237,90821.46798366711
311,238,88627.82472402722
311,269,90821.46798366711
311,271,90821.46798366711
311,298,90809.6293590764
311,30,90821.46798366711
311,301,90821.14334450878
311,302,90821.46798366711
311,308,90807.1955561476
311,360,90821.46798366711
311,57,90821.46798366711
