cdl_year,county_fips5,cdl_value,category,pixel_count,acreage
2022,06047,33,Safflower,3025,672.7
2022,06047,35,Mustard,40,8.9
2022,06047,36,Alfalfa,281550,62615.2
2022,06047,37,Other Hay/Non Alfalfa,24645,5480.9
2022,06047,42,Dry Beans,289,64.3
2022,06047,43,Potatoes,9,2.0
2022,06047,44,Other Crops,142,31.6
2022,06047,46,Sweet Potatoes,22492,5002.1
2022,06047,47,Misc Vegs & Fruits,19,4.2
2022,06047,48,Watermelons,2933,652.3
2022,06047,49,Onions,3752,834.4
2022,06047,50,Cucumbers,41,9.1
2022,06047,51,Chick Peas,50,11.1
2022,06047,53,Peas,3,0.7
2022,06047,54,Tomatoes,134711,29959.0
2022,06047,57,Herbs,1717,381.9
2022,06047,58,Clover/Wildflowers,6820,1516.7
2022,06047,59,Sod/Grass Seed,102,22.7
2022,06047,61,Fallow/Idle Cropland,107984,24015.1
2022,06047,66,Cherries,7184,1597.7
2022,06047,67,Peaches,8944,1989.1
2022,06047,68,Apples,516,114.8
2022,06047,69,Grapes,77469,17228.7
2022,06047,71,Other Tree Crops,895,199.0
2022,06047,72,Citrus,248,55.2
2022,06047,74,Pecans,70,15.6
2022,06047,75,Almonds,936379,208245.7
2022,06047,76,Walnuts,47434,10549.1
2022,06047,92,Aquaculture,1,0.2
2022,06047,111,Open Water,90270,20075.6
2022,06047,121,Developed/Open Space,147523,32808.3
2022,06047,122,Developed/Low Intensity,92615,20597.1
2022,06047,123,Developed/Medium Intensity,80126,17819.6
2022,06047,124,Developed/High Intensity,21545,4791.5
2022,06047,131,Barren,28849,6415.9
2022,06047,141,Deciduous Forest,426,94.7
2022,06047,142,Evergreen Forest,3389,753.7
2022,06047,143,Mixed Forest,71531,15908.1
2022,06047,152,Shrubland,173389,38560.8
2022,06047,176,Grass/Pasture,1868813,415614.0
2022,06047,190,Woody Wetlands,13804,3069.9
2022,06047,195,Herbaceous Wetlands,505329,112382.5
2022,06047,204,Pistachios,139046,30923.1
2022,06047,205,Triticale,8404,1869.0
2022,06047,206,Carrots,2683,596.7
2022,06047,208,Garlic,9571,2128.5
2022,06047,209,Cantaloupes,12041,2677.9
2022,06047,210,Prunes,663,147.4
2022,06047,211,Olives,3764,837.1
2022,06047,212,Oranges,94,20.9
2022,06047,213,Honeydew Melons,1100,244.6
2022,06047,214,Broccoli,82,18.2
2022,06047,216,Peppers,850,189.0
2022,06047,217,Pomegranates,1111,247.1
2022,06047,218,Nectarines,3,0.7
2022,06047,220,Plums,5405,1202.0
2022,06047,221,Strawberries,176,39.1
2022,06047,222,Squash,1,0.2
2022,06047,225,Dbl Crop WinWht/Corn,150751,33526.2
2022,06047,226,Dbl Crop Oats/Corn,124014,27580.0
2022,06047,227,Lettuce,1978,439.9
2022,06047,228,Dbl Crop Triticale/Corn,3594,799.3
2022,06047,229,Pumpkins,120,26.7
2022,06047,236,Dbl Crop WinWht/Sorghum,359,79.8
2022,06047,237,Dbl Crop Barley/Corn,1268,282.0
2022,06047,238,Dbl Crop WinWht/Cotton,939,208.8
2022,06047,242,Blueberries,49,10.9
2022,06077,1,Corn,158772,35310.0
2022,06077,2,Cotton,630,140.1
2022,06077,3,Rice,46570,10356.9
2022,06077,4,Sorghum,340,75.6
2022,06077,6,Sunflowers,4198,933.6
2022,06077,12,Sweet Corn,9592,2133.2
2022,06077,13,Pop or Orn Corn,18,4.0
2022,06077,21,Barley,6081,1352.4
2022,06077,22,Durum Wheat,1,0.2
2022,06077,23,Spring Wheat,11,2.4
2022,06077,24,Winter Wheat,184531,41038.7
2022,06077,27,Rye,1600,355.8
2022,06077,28,Oats,77437,17221.6
2022,06077,33,Safflower,11461,2548.9
2022,06077,35,Mustard,1,0.2
2022,06077,36,Alfalfa,280147,62303.2
2022,06077,37,Other Hay/Non Alfalfa,65796,14632.7
2022,06077,42,Dry Beans,2276,506.2
2022,06077,43,Potatoes,4,0.9
2022,06077,44,Other Crops,2932,652.1
2022,06077,46,Sweet Potatoes,244,54.3
2022,06077,47,Misc Vegs & Fruits,16,3.6
2022,06077,48,Watermelons,10916,2427.7
2022,06077,49,Onions,6262,1392.6
2022,06077,50,Cucumbers,4757,1057.9
2022,06077,51,Chick Peas,662,147.2
2022,06077,53,Peas,238,52.9
2022,06077,54,Tomatoes,102431,22780.1
2022,06077,57,Herbs,849,188.8
2022,06077,58,Clover/Wildflowers,3974,883.8
2022,06077,59,Sod/Grass Seed,119,26.5
2022,06077,61,Fallow/Idle Cropland,63876,14205.7
2022,06077,66,Cherries,116806,25977.0
2022,06077,67,Peaches,7119,1583.2
2022,06077,68,Apples,11269,2506.2
2022,06077,69,Grapes,415746,92459.7
2022,06077,71,Other Tree Crops,1096,243.7
2022,06077,72,Citrus,144,32.0
2022,06077,74,Pecans,480,106.7
2022,06077,75,Almonds,529485,117754.6
2022,06077,76,Walnuts,334202,74324.7
2022,06077,77,Pears,1070,238.0
2022,06077,92,Aquaculture,13,2.9
2022,06077,111,Open Water,102084,22702.9
2022,06077,121,Developed/Open Space,110805,24642.4
2022,06077,122,Developed/Low Intensity,136979,30463.4
2022,06077,123,Developed/Medium Intensity,233523,51934.3
2022,06077,124,Developed/High Intensity,103895,23105.7
2022,06077,131,Barren,9261,2059.6
2022,06077,141,Deciduous Forest,156,34.7
2022,06077,142,Evergreen Forest,734,163.2
2022,06077,143,Mixed Forest,26660,5929.0
2022,06077,152,Shrubland,100711,22397.6
2022,06077,176,Grass/Pasture,626778,139392.1
2022,06077,190,Woody Wetlands,22649,5037.0
2022,06077,195,Herbaceous Wetlands,33414,7431.1
2022,06077,204,Pistachios,6385,1420.0
2022,06077,205,Triticale,12638,2810.6
2022,06077,206,Carrots,50,11.1
2022,06077,208,Garlic,15176,3375.1
2022,06077,209,Cantaloupes,115,25.6
2022,06077,210,Prunes,1460,324.7
2022,06077,211,Olives,38815,8632.2
2022,06077,212,Oranges,4,0.9
2022,06077,213,Honeydew Melons,8,1.8
2022,06077,214,Broccoli,1,0.2
2022,06077,216,Peppers,121,26.9
2022,06077,217,Pomegranates,1194,265.5
2022,06077,219,Greens,1,0.2
2022,06077,220,Plums,1825,405.9
2022,06077,221,Strawberries,96,21.3
2022,06077,222,Squash,530,117.9
2022,06077,225,Dbl Crop WinWht/Corn,22121,4919.6
2022,06077,226,Dbl Crop Oats/Corn,21211,4717.2
2022,06077,227,Lettuce,75,16.7
2022,06077,228,Dbl Crop Triticale/Corn,543,120.8
2022,06077,229,Pumpkins,6055,1346.6
2022,06077,236,Dbl Crop WinWht/Sorghum,7,1.6
2022,06077,237,Dbl Crop Barley/Corn,703,156.3
2022,06077,238,Dbl Crop WinWht/Cotton,4,0.9
2022,06077,242,Blueberries,1,0.2
2022,06099,1,Corn,25775,5732.2
2022,06099,2,Cotton,4649,1033.9
2022,06099,3,Rice,1630,362.5
2022,06099,4,Sorghum,157,34.9
2022,06099,6,Sunflowers,832,185.0
2022,06099,12,Sweet Corn,3613,803.5
2022,06099,13,Pop or Orn Corn,1,0.2
2022,06099,21,Barley,1516,337.2
2022,06099,22,Durum Wheat,12,2.7
2022,06099,23,Spring Wheat,6,1.3
2022,06099,24,Winter Wheat,57571,12803.5
2022,06099,27,Rye,4832,1074.6
2022,06099,28,Oats,43645,9706.4
2022,06099,33,Safflower,620,137.9
2022,06099,35,Mustard,9,2.0
2022,06099,36,Alfalfa,146646,32613.3
2022,06099,37,Other Hay/Non Alfalfa,112067,24923.1
2022,06099,41,Sugarbeets,1,0.2
2022,06099,42,Dry Beans,4240,943.0
2022,06099,43,Potatoes,29,6.4
2022,06099,44,Other Crops,285,63.4
2022,06099,46,Sweet Potatoes,2433,541.1
2022,06099,47,Misc Vegs & Fruits,21,4.7
2022,06099,48,Watermelons,762,169.5
2022,06099,49,Onions,537,119.4
2022,06099,50,Cucumbers,74,16.5
2022,06099,51,Chick Peas,17,3.8
2022,06099,53,Peas,101,22.5
2022,06099,54,Tomatoes,33616,7476.0
2022,06099,57,Herbs,981,218.2
2022,06099,58,Clover/Wildflowers,5525,1228.7
2022,06099,59,Sod/Grass Seed,44,9.8
2022,06099,61,Fallow/Idle Cropland,16241,3611.9
2022,06099,66,Cherries,29901,6649.8
2022,06099,67,Peaches,10019,2228.2
2022,06099,68,Apples,4462,992.3
2022,06099,69,Grapes,49014,10900.5
2022,06099,71,Other Tree Crops,739,164.3
2022,06099,72,Citrus,2310,513.7
2022,06099,74,Pecans,119,26.5
2022,06099,75,Almonds,1005067,223521.5
2022,06099,76,Walnuts,170274,37868.0
2022,06099,77,Pears,10,2.2
2022,06099,92,Aquaculture,3,0.7
2022,06099,111,Open Water,56408,12544.8
2022,06099,121,Developed/Open Space,111185,24726.9
2022,06099,122,Developed/Low Intensity,106160,23609.4
2022,06099,123,Developed/Medium Intensity,150670,33508.2
2022,06099,124,Developed/High Intensity,54197,12053.1
2022,06099,131,Barren,22486,5000.8
2022,06099,141,Deciduous Forest,799,177.7
2022,06099,142,Evergreen Forest,2292,509.7
2022,06099,143,Mixed Forest,169010,37586.9
2022,06099,152,Shrubland,542795,120714.7
2022,06099,176,Grass/Pasture,1219076,271116.0
2022,06099,190,Woody Wetlands,23508,5228.1
2022,06099,195,Herbaceous Wetlands,53704,11943.5
2022,06099,204,Pistachios,12286,2732.3
2022,06099,205,Triticale,9045,2011.6
2022,06099,206,Carrots,192,42.7
2022,06099,208,Garlic,3672,816.6
2022,06099,209,Cantaloupes,2778,617.8
2022,06099,210,Prunes,1706,379.4
2022,06099,211,Olives,6028,1340.6
2022,06099,212,Oranges,26,5.8
2022,06099,213,Honeydew Melons,117,26.0
2022,06099,214,Broccoli,18,4.0
2022,06099,215,Avocados,4,0.9
2022,06099,216,Peppers,55,12.2
2022,06099,217,Pomegranates,463,103.0
2022,06099,218,Nectarines,2,0.4
2022,06099,219,Greens,3,0.7
2022,06099,220,Plums,2748,611.1
2022,06099,221,Strawberries,46,10.2
2022,06099,222,Squash,20,4.4
2022,06099,225,Dbl Crop WinWht/Corn,39076,8690.3
